                            Variables index correlation     qvalue pvalue
M4.55_700.5264m.z   M4.55_700.5264m.z  2171   0.2990043 0.09846512  0.008
M4.75_816.5886m.z   M4.75_816.5886m.z   899   0.2987013 0.09846512  0.008
M4.92_781.0530m.z   M4.92_781.0530m.z  1900   0.2986799 0.10373684  0.009
M4.66_151.0260m.z   M4.66_151.0260m.z   802   0.2976593 0.09359368  0.007
M11.42_769.2361m.z M11.42_769.2361m.z  3570   0.2972231 0.07764059  0.005
M8.04_175.0246m.z   M8.04_175.0246m.z  4309   0.2967697 0.05935514  0.003
M12.29_264.2449n     M12.29_264.2449n  1275   0.2963486 0.08543946  0.006
M4.78_829.5618n       M4.78_829.5618n   440   0.2959670 0.10875000  0.010
M3.56_99.0451m.z     M3.56_99.0451m.z  5619   0.2957939 0.09359368  0.007
M5.10_150.0559m.z   M5.10_150.0559m.z  5791   0.2956892 0.09846512  0.008
M8.58_368.2788m.z   M8.58_368.2788m.z  1132   0.2951885 0.07017680  0.004
M9.11_225.1859m.z   M9.11_225.1859m.z  3416   0.2949913 0.07017680  0.004
M10.69_343.2217m.z M10.69_343.2217m.z  2787   0.2948115 0.07764059  0.005
M4.80_763.5503n       M4.80_763.5503n  1358   0.2946336 0.11341071  0.011
M4.81_822.5983m.z   M4.81_822.5983m.z  2912   0.2940789 0.09359368  0.007
M4.92_744.5904m.z   M4.92_744.5904m.z   743   0.2939302 0.10875000  0.010
M4.77_809.5934n       M4.77_809.5934n   224   0.2938784 0.10875000  0.010
M11.97_378.2073n     M11.97_378.2073n   453   0.2935125 0.05935514  0.003
M1.07_169.1233m.z   M1.07_169.1233m.z   807   0.2934824 0.08543946  0.006
M11.00_275.2015m.z M11.00_275.2015m.z  1848   0.2934358 0.08543946  0.006
M4.80_766.5738m.z   M4.80_766.5738m.z   445   0.2927953 0.09846512  0.008
M11.57_199.1338m.z M11.57_199.1338m.z  4404   0.2925900 0.07764059  0.005
M11.96_783.6356m.z M11.96_783.6356m.z  2212   0.2919954 0.05935514  0.003
M4.96_770.5719m.z   M4.96_770.5719m.z  2537   0.2916585 0.10875000  0.010
M11.96_533.3491m.z M11.96_533.3491m.z  3290   0.2911948 0.02913303  0.001
M11.15_351.2537m.z M11.15_351.2537m.z  1621   0.2902964 0.09359368  0.007
M12.88_445.2543m.z M12.88_445.2543m.z   140   0.2902166 0.02913303  0.001
M4.92_746.5700m.z   M4.92_746.5700m.z  2052   0.2898371 0.08543946  0.006
M4.94_730.5376m.z   M4.94_730.5376m.z  1029   0.2897953 0.09359368  0.007
M11.79_524.3777m.z M11.79_524.3777m.z   568   0.2897751 0.10373684  0.009
M4.89_770.6053m.z   M4.89_770.6053m.z   739   0.2892829 0.09359368  0.007
M7.58_189.0692m.z   M7.58_189.0692m.z  3119   0.2889442 0.09846512  0.008
M11.55_236.2137n     M11.55_236.2137n  3254   0.2887039 0.07017680  0.004
