                            Variables index correlation     qvalue pvalue
M1.53_173.0476n       M1.53_173.0476n  2858  -0.2779883 0.13825306  0.016
M10.14_229.1297m.z M10.14_229.1297m.z  6272  -0.2777837 0.11926761  0.012
M4.69_591.1149m.z   M4.69_591.1149m.z  2732  -0.2775745 0.09359368  0.007
M11.99_343.0193m.z M11.99_343.0193m.z  1008  -0.2770238 0.10373684  0.009
M6.69_166.0508m.z   M6.69_166.0508m.z  4960  -0.2769799 0.10373684  0.009
M11.42_619.3148n     M11.42_619.3148n   780  -0.2767101 0.09359368  0.007
M4.97_365.0811m.z   M4.97_365.0811m.z  3342  -0.2766100 0.09846512  0.008
M1.16_242.1884n       M1.16_242.1884n  1230  -0.2764253 0.11926761  0.012
M0.74_112.0136n       M0.74_112.0136n  1880  -0.2763204 0.10373684  0.009
M10.24_382.1000m.z M10.24_382.1000m.z  2111  -0.2760915 0.13286611  0.015
M11.04_254.9813m.z M11.04_254.9813m.z   178  -0.2759113 0.09846512  0.008
M10.54_161.0327n     M10.54_161.0327n   878  -0.2754474 0.10373684  0.009
M10.89_319.2640m.z M10.89_319.2640m.z  2713  -0.2754430 0.07764059  0.005
M9.64_141.0168m.z   M9.64_141.0168m.z     9  -0.2748885 0.11926761  0.012
M7.85_359.1802m.z   M7.85_359.1802m.z  3567  -0.2743693 0.10875000  0.010
M12.11_247.1399m.z M12.11_247.1399m.z  1599  -0.2734642 0.07764059  0.005
M1.11_409.3318m.z   M1.11_409.3318m.z   962  -0.2730969 0.09846512  0.008
M7.12_397.1588m.z   M7.12_397.1588m.z  3532  -0.2722531 0.12830303  0.014
M5.06_246.0771m.z   M5.06_246.0771m.z  3125  -0.2722237 0.11341071  0.011
M7.12_419.1408m.z   M7.12_419.1408m.z  3552  -0.2722110 0.09359368  0.007
M10.91_202.0956n     M10.91_202.0956n   492  -0.2719410 0.11341071  0.011
M12.11_671.2316m.z M12.11_671.2316m.z  2450  -0.2714702 0.12415489  0.013
M9.88_231.0595m.z   M9.88_231.0595m.z   770  -0.2709259 0.12830303  0.014
M4.02_218.0282m.z   M4.02_218.0282m.z  3434  -0.2707597 0.09359368  0.007
M3.97_129.1023m.z   M3.97_129.1023m.z  1217  -0.2706271 0.10875000  0.010
M11.88_437.3268m.z M11.88_437.3268m.z  1126  -0.2704789 0.08543946  0.006
M9.35_335.2227m.z   M9.35_335.2227m.z  3055  -0.2702935 0.11341071  0.011
M8.34_464.3012m.z   M8.34_464.3012m.z  3111  -0.2695001 0.14168898  0.017
M11.80_495.2707m.z M11.80_495.2707m.z  3201  -0.2691033 0.11926761  0.012
M10.55_247.0932m.z M10.55_247.0932m.z   230  -0.2690117 0.11341071  0.011
M8.88_180.0663m.z   M8.88_180.0663m.z  5846  -0.2689748 0.15681481  0.020
M4.01_138.0445n       M4.01_138.0445n  3173  -0.2689442 0.10373684  0.009
M1.04_94.9250m.z     M1.04_94.9250m.z   903  -0.2688899 0.12830303  0.014
M7.86_311.0570m.z   M7.86_311.0570m.z  6052  -0.2686858 0.12415489  0.013
M1.78_377.2695m.z   M1.78_377.2695m.z  5456  -0.2682481 0.10875000  0.010
M12.63_443.3159m.z M12.63_443.3159m.z   832  -0.2680880 0.11926761  0.012
M1.51_216.1133m.z   M1.51_216.1133m.z   283  -0.2680472 0.11926761  0.012
M6.03_217.1430m.z   M6.03_217.1430m.z  3107  -0.2678775 0.13286611  0.015
M5.06_196.0250m.z   M5.06_196.0250m.z  4034  -0.2673337 0.14168898  0.017
M2.77_136.0756m.z   M2.77_136.0756m.z  6054  -0.2672735 0.12830303  0.014
M11.49_279.1181m.z M11.49_279.1181m.z  4634  -0.2669853 0.14168898  0.017
M4.51_112.0505m.z   M4.51_112.0505m.z  2917  -0.2668547 0.10875000  0.010
M8.15_111.0199m.z   M8.15_111.0199m.z  3214  -0.2667058 0.13286611  0.015
M2.14_172.0403m.z   M2.14_172.0403m.z  4720  -0.2666065 0.12415489  0.013
M7.33_608.2719n       M7.33_608.2719n     2  -0.2661910 0.13286611  0.015
M12.91_246.1214n     M12.91_246.1214n  5972  -0.2661457 0.13286611  0.015
